Hostname,OS,Version,Stack,Model,Serial,Uptime
ia-mdc-lan-accs-csw-a045-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2325B0RU,"4 years, 21 weeks, 2 days, 15 hours, 14 minutes"
ia-mdc-lan-accs-csw-a09-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2323B04Y,"4 years, 21 weeks, 2 days, 15 hours, 7 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2323B050,"3 years, 9 weeks, 4 days, 17 hours, 13 minutes"
ia-mdc-lan-accs-csw-a09-2,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-24PD-I,FDO2221B0C7,"4 years, 29 weeks, 5 days, 18 hours, 42 minutes"
,,,1,WS-C2960XR-24PD-I,FDO2221B0AQ,"4 years, 29 weeks, 5 days, 19 hours, 31 minutes"
ia-mdc-lan-accs-csw-a115-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2325B0ST,"4 years, 21 weeks, 2 days, 14 hours, 57 minutes"
ia-mdc-lan-accs-csw-a115-2,Eltex,4.0.25,,MES2348P,ES51011355,"142,02:07:00"
ia-mdc-lan-accs-csw-a135-1,Eltex,4.0.25,,MES2348P,ES51007592,"142,02:03:31"
ia-mdc-lan-accs-csw-a159-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2221B0CS,"4 years, 13 weeks, 4 days, 19 hours, 29 minutes"
ia-mdc-lan-accs-csw-a217-1,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-24PD-I,FDO2323B04A,"4 years, 21 weeks, 2 days, 15 hours, 4 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0B0,"4 years, 21 weeks, 2 days, 15 hours, 37 minutes"
ia-mdc-lan-accs-csw-a233-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2325B0UP,"4 years, 21 weeks, 2 days, 14 hours, 52 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2321B0EH,"4 years, 21 weeks, 2 days, 15 hours, 36 minutes"
ia-mdc-lan-accs-csw-a329-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2321B0EK,"4 years, 21 weeks, 2 days, 14 hours, 48 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2325B0RT,"4 years, 21 weeks, 2 days, 15 hours, 34 minutes"
ia-mdc-lan-accs-csw-a329-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F09E,"4 years, 21 weeks, 2 days, 14 hours, 58 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0B8,"4 years, 21 weeks, 2 days, 15 hours, 9 minutes"
ia-mdc-lan-accs-csw-a369-1,Eltex,4.0.25.5,,MES2348P,ES51008377,"00,21:57:09"
ia-mdc-lan-accs-csw-a427-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2322B06P,"4 years, 20 weeks, 2 days, 15 hours, 25 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2326B0LX,"4 years, 20 weeks, 2 days, 16 hours, 3 minutes"
,,,3,WS-C2960XR-48FPD-I,FDO2416F06B,"4 years, 20 weeks, 2 days, 16 hours, 3 minutes"
,,,4,WS-C2960XR-48FPD-I,FDO2416F09U,"4 years, 20 weeks, 2 days, 16 hours, 3 minutes"
ia-mdc-lan-accs-csw-a427-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0AC,"4 years, 20 weeks, 2 days, 15 hours, 21 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0AG,"4 years, 20 weeks, 2 days, 16 hours, 4 minutes"
ia-mdc-lan-accs-csw-a471-1,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-24PD-I,FDO2320B0ZG,"4 years, 20 weeks, 2 days, 15 hours, 26 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0AY,"4 years, 20 weeks, 2 days, 16 hours, 5 minutes"
ia-mdc-lan-accs-csw-b07-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2326B0LP,"16 weeks, 22 hours, 24 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2322B07C,"16 weeks, 21 hours, 34 minutes"
ia-mdc-lan-accs-csw-b07-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2221B0CY,"4 years, 27 weeks, 6 days, 16 hours, 16 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2221B0CP,"4 years, 27 weeks, 6 days, 16 hours, 53 minutes"
ia-mdc-lan-accs-csw-b139-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2322B0LP,"4 years, 20 weeks, 2 days, 15 hours, 40 minutes"
ia-mdc-lan-accs-csw-b225-1,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-48FPD-I,FDO2416F09X,"4 years, 20 weeks, 2 days, 15 hours, 23 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0AW,"4 years, 20 weeks, 2 days, 16 hours, 6 minutes"
ia-mdc-lan-accs-csw-b339-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0A3,"2 years, 5 weeks, 11 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0AL,"2 years, 5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-b339-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F05U,"2 years, 5 weeks, 3 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0A5,"2 years, 5 weeks, 27 minutes"
ia-mdc-lan-accs-csw-b433-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0C3,"3 years, 36 weeks, 4 days, 14 hours, 32 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F09W,"3 years, 36 weeks, 4 days, 15 hours, 3 minutes"
ia-mdc-lan-accs-csw-b433-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2322B0LM,"4 years, 20 weeks, 2 days, 15 hours, 36 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2323B04C,"4 years, 20 weeks, 2 days, 16 hours, 8 minutes"
ia-mdc-lan-accs-csw-kpp-1-1,Eltex,4.0.25,,MES2308P,ES3B041122,"142,01:42:14"
ia-mdc-lan-accs-csw-kpp-2-1,Eltex,4.0.25,,MES2308P,ES3B034745,"142,01:41:30"
ia-mdc-lan-accs-csw-v114-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2326B0JV,"5 weeks, 30 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2326B0LJ,"5 weeks, 31 minutes"
ia-mdc-lan-accs-csw-v114-2,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2322B0LY,"5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-v114-3,Cisco IOS,15.2(7)E4,,WS-C2960XR-24PD-I,FDO2322B0M2,"5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-v139-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2326B0KC,"4 years, 1 week, 2 days, 20 hours, 17 minutes"
ia-mdc-lan-accs-csw-v139-2,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F0B3,"4 years, 1 week, 2 days, 20 hours, 19 minutes"
ia-mdc-lan-accs-csw-v141-1,Cisco IOS,15.2(7)E2,,WS-C2960X-24PS-L,JTV2439100U,"1 year, 3 weeks, 2 days, 11 minutes"
ia-mdc-lan-accs-csw-v159-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2325B0UN,"4 years, 18 weeks, 3 days, 13 hours, 38 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2325B0RP,"4 years, 18 weeks, 3 days, 14 hours, 23 minutes"
,,,3,WS-C2960XR-24PD-I,FDO2322B0M4,"4 years, 18 weeks, 3 days, 14 hours, 23 minutes"
,,,4,WS-C2960XR-24PD-I,FDO2323B044,"4 years, 18 weeks, 3 days, 14 hours, 23 minutes"
ia-mdc-lan-accs-csw-v159-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0BE,"2 years, 35 weeks, 5 days, 22 hours, 18 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F05S,"2 years, 35 weeks, 5 days, 22 hours, 42 minutes"
ia-mdc-lan-accs-csw-v208-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2326B0KM,"5 weeks, 30 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2321B0E2,"5 weeks, 31 minutes"
,,,3,WS-C2960XR-24PD-I,FDO2322B0MA,"5 weeks, 31 minutes"
,,,4,WS-C2960XR-24PD-I,FDO2322B0FL,"5 weeks, 31 minutes"
ia-mdc-lan-accs-csw-v208-2,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-48FPD-I,FDO2416F0BU,"5 weeks, 30 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0C0,"5 weeks, 31 minutes"
ia-mdc-lan-accs-csw-v229-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F0BA,"3 years, 11 weeks, 3 days, 22 hours, 46 minutes"
ia-mdc-lan-accs-csw-v229-2,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F0BG,"3 years, 11 weeks, 3 days, 22 hours, 57 minutes"
ia-mdc-lan-accs-csw-v281-1,Cisco IOS,15.2(7)E4,3 (master),WS-C2960XR-48FPD-I,FDO2416F09R,"4 years, 18 weeks, 3 days, 13 hours, 29 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2326B0M8,"11 weeks, 3 days, 19 hours, 56 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2326B0LY,"11 weeks, 3 days, 19 hours, 56 minutes"
,,,4,WS-C2960XR-48FPD-I,FDO2416F0BC,"4 years, 18 weeks, 3 days, 13 hours, 36 minutes"
ia-mdc-lan-accs-csw-v281-2,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-48FPD-I,FDO2416F05P,"4 years, 18 weeks, 3 days, 13 hours, 29 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0B6,"4 years, 18 weeks, 3 days, 14 hours, 21 minutes"
ia-mdc-lan-accs-csw-v312-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2321B0EL,"5 weeks, 29 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2321B0EP,"5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-v312-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0AZ,"5 weeks, 29 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0C1,"5 weeks, 30 minutes"
ia-mdc-lan-accs-csw-v386-2,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-48FPD-I,FDO2416F0C2,"4 years, 8 weeks, 6 days, 21 hours, 52 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0BF,"3 years, 8 weeks, 24 minutes"
ia-mdc-lan-accs-csw-v423-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-24PD-I,FDO2325B0S2,"5 weeks, 27 minutes"
,,,2,WS-C2960XR-24PD-I,FDO2325B0RZ,"5 weeks, 28 minutes"
,,,3,WS-C2960XR-48FPD-I,FDO2210B01K,"5 weeks, 28 minutes"
ia-mdc-lan-accs-csw-v423-2,Cisco IOS,15.2(7)E4,2 (master),WS-C2960XR-48FPD-I,FDO2416F064,"5 weeks, 27 minutes"
,,,1,WS-C2960XR-48FPD-I,FDO2416F0AH,"5 weeks, 28 minutes"
ia-rdc-lan-accs-csw-115-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPS-I,FDO1830B0AG,"4 years, 20 weeks, 4 days, 13 hours, 12 minutes"
ia-rdc-lan-accs-csw-115-2,Eltex,4.0.25,,MES2348P,ES51007528,"142,22:42:35"
ia-rdc-lan-accs-csw-115-3,Eltex,4.0.25,,MES2348P,ES51007928,"142,22:37:31"
ia-rdc-lan-accs-csw-137-1,Eltex,4.0.25,,MES2348P,ES51007017,"142,22:33:27"
ia-rdc-lan-accs-csw-204-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F06R,"46 weeks, 6 days, 23 hours, 23 minutes"
ia-rdc-lan-accs-csw-204-2,Eltex,4.0.25,,MES2348P,ES51011646,"142,22:27:12"
ia-rdc-lan-accs-csw-204-3,Eltex,4.0.25,,MES2348P,ES51008339,"142,22:23:07"
ia-rdc-lan-accs-csw-230-1,Eltex,4.0.25,,MES2348P,ES51011459,"142,22:16:58"
ia-rdc-lan-accs-csw-230-2,Eltex,4.0.25,,MES2348P,ES51008115,"142,22:09:06"
ia-rdc-lan-accs-csw-230-3,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F0B7,"46 weeks, 19 hours, 54 minutes"
ia-rdc-lan-accs-csw-230-4,Eltex,4.0.25,,MES2348P,ES51007638,"142,22:05:53"
ia-rdc-lan-accs-csw-230-5,Eltex,4.0.25,,MES2348P,ES51011728,"142,21:59:57"
ia-rdc-lan-accs-csw-30-1,Cisco IOS,12.2(55)SE12,,WS-C2960G-48TC-L,FOC1525V31E,"2 years, 24 weeks, 22 hours, 51 minutes"
ia-rdc-lan-accs-csw-308-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2050B15U,"4 years, 20 weeks, 4 days, 14 hours, 35 minutes"
ia-rdc-lan-accs-csw-308-2,Cisco IOS,15.2(4)E8,2 (master),WS-C2960X-48FPS-L,FCW1935B21G,"2 years, 25 weeks, 1 day, 21 hours, 30 minutes"
,,,1,WS-C2960X-48FPS-L,FCW1935B20N,"2 years, 25 weeks, 1 day, 22 hours, 33 minutes"
ia-rdc-lan-accs-csw-308-3,Eltex,4.0.25,,MES2348P,ES51011659,"142,21:55:35"
ia-rdc-lan-accs-csw-412-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO1927I09D,"4 years, 34 weeks, 3 days, 14 hours, 16 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO1836I13D,"4 years, 34 weeks, 3 days, 16 hours, 37 minutes"
ia-rdc-lan-accs-csw-412-2,Cisco IOS,15.2(7)E4,3 (master),WS-C2960XR-48FPD-I,FDO1837I0G4,"4 years, 34 weeks, 3 days, 14 hours, 44 minutes"
,,,4,WS-C2960XR-48FPD-I,FDO1837I0FJ,"4 years, 34 weeks, 3 days, 16 hours, 37 minutes"
ia-rdc-lan-accs-csw-512-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2050B15Z,"4 years, 20 weeks, 4 days, 15 hours, 33 minutes"
ia-rdc-lan-accs-csw-512-2,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPS-I,FDO2007B0CD,"2 weeks, 1 hour, 23 minutes"
,,,2,WS-C2960XR-48FPS-I,FDO2007B0CV,"2 weeks, 1 hour, 23 minutes"
ia-rdc-lan-accs-csw-512-3,Eltex,4.0.25,,MES2348P,ES51007004,"14,01:36:39"
ia-rdc-lan-accs-csw-618-1,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPS-I,FDO1832B0PB,"4 years, 20 weeks, 4 days, 14 hours, 37 minutes"
ia-rdc-lan-accs-csw-618-2,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPD-I,FDO2416F0B9,"40 weeks, 18 hours, 7 minutes"
ia-rdc-lan-accs-csw-618-3,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPS-I,FDO1830B0AZ,"4 years, 20 weeks, 4 days, 14 hours, 32 minutes"
ia-rdc-lan-accs-csw-618-4,Cisco IOS,15.2(7)E4,,WS-C2960XR-48FPS-I,FDO1832B0QF,"4 years, 20 weeks, 4 days, 14 hours, 38 minutes"
ia-rdc-lan-accs-csw-702-1,Cisco IOS,15.2(7)E4,1 (master),WS-C2960XR-48FPD-I,FDO2416F0BQ,"36 weeks, 6 days, 22 hours, 54 minutes"
,,,2,WS-C2960XR-48FPD-I,FDO2416F0BB,"36 weeks, 6 days, 22 hours, 56 minutes"
